actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,director_facebook_likes,movie_facebook_likes,imdb_score
0.0015625,0.006832116788321168,0.03717391304347826,0.007360711403468701,0.0,0.09455587392550144,7.9
0.0625,0.0364963503649635,0.043478260869565216,0.07362234099249311,0.024478260869565217,0.0,7.1
0.0171875,0.0028686131386861315,0.007,0.017815540633136905,0.0,0.24355300859598855,6.8
0.0421875,0.1678832116788321,1.0,0.16256147884214212,0.9565217391304348,0.4699140401146132,8.5
0.001,0.004613138686131387,0.023043478260869565,0.0028520091970825148,0.020652173913043477,0.06876790830945559,6.6
0.0375,0.08029197080291971,0.17391304347826086,0.07012775417599318,0.0,0.0,6.2
0.0012484375,0.004036496350364963,0.012347826086956521,0.0031002086093219437,0.0006521739130434783,0.0830945558739255,7.8
0.040625,0.15328467153284672,0.8260869565217391,0.14008801181611927,0.0,0.33810888252148996,7.5
0.0390625,0.08029197080291971,0.43478260869565216,0.08946294519817885,0.012260869565217391,0.02865329512893983,7.5
0.0234375,0.029197080291970802,0.08695652173913043,0.0372299118359143,0.0,0.5644699140401146,6.9
0.028125,0.072992700729927,0.03926086956521739,0.045667169156274265,0.0,0.0,6.1
0.0007046875,0.003007299270072993,0.01708695652173913,0.0030804135641740137,0.01717391304347826,0.0,6.7
0.0625,0.0364963503649635,0.043478260869565216,0.07382942761865607,0.024478260869565217,0.014326647564469915,7.3
0.0625,0.014598540145985401,0.043478260869565216,0.0696739908333714,0.024478260869565217,0.13753581661891118,6.5
0.0234375,0.021897810218978103,0.03252173913043478,0.031207650023601784,0.0,0.33810888252148996,7.2
0.034375,0.0015766423357664234,0.008739130434782609,0.03456062613250499,0.0034782608695652175,0.0,6.6
0.040625,0.15328467153284672,0.8260869565217391,0.13353585187215447,0.0,0.3524355300859599,8.1
0.0625,0.08029197080291971,0.043478260869565216,0.08235195590273019,0.010956521739130434,0.166189111747851,6.7
0.015625,0.005956204379562044,0.031217391304347825,0.01914333135382882,0.00817391304347826,0.11461318051575932,6.8
0.0078125,0.007094890510948905,0.03360869565217391,0.013935711784142647,0.0,0.18624641833810887,7.5
